cocktails_name,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12
“Blue Dog” Zombie,Plantation Overproof Rum:12.5,Goslings Bermudan Dark Rum:12.5,Chairman's Reserve Spiced Rum:12.5,Chairmans Reserve White Rum:12.5,Gabriel Boudier Apricot Brandy:12.5,Gomme Syrup:12.5,Lime Juice:25.0,Orange Juice:25.0,25 Pineapple Juice,1 Passion Fruit
20th  Century,Gin:37.5,Lillet Blanc:20.0,Crème de Cacao:20.0,Fresh Lemon Juice:20.0
50 – 50,Gin:50.0,Dry Vermouth:50.0,1 Olive
Abaci Batida,Cachaca:50.0,Pineapple Juice:75.0,Lemon Juice:12.5,Sugar Syrup:5.0
Abbey Cocktail,Gin:50.0,Orange Juice:37.5,Orange Bitters:2.0(dash),Maraschino Cherry
Accomplice,Vodka:50.0,Lemon Juice:25.0,Sugar Syrup:12.5,Champagne,3 Strawberries
Adios M.F,Vodka:12.5,Tequila:12.5,Gin:12.5,Rum:12.5,Blue Curacao:12.5
Admiral Benbow,Plymouth Gin:50.0,Dry Vermouth:25.0,Lime Juice:12.5,Maraschino Cherry
Admiral Perry,Pear Vodka:50.0,Cinnamon Schnapps:25.0,Dry Vermouth:25.0,White Crème de Cacao:5.0,Pear Slice
Adonis,Dry Sherry:25.0,Sweet Vermouth:12.5,Dry Vermouth:12.5,Orange Bitters:2.0(dash)
Adult Hot Chocolate,Peppermint Schnapps:50.0,Hot Chocolate,Whipped Cream,Chocolate Shavings
Affinity,Scotch Whiskey:25.0,Sweet Vermouth:12.5,Dry Vermouth:12.5,Orange Bitters:2.0(dash)
Agave Kiss,Silver Tequila:50.0,White Crème de Cacao:25.0,Double Cream:25.0,Chambord:12.5,White Chocolate flakes,Raspberries
Agent Orange,Vodka:25.0,Carrot Juice:75.0
Air Force One,Hpnotiq Liqueur:50.0,Citrus Vodka:25.0,juice from a Lemon Wedge,Lemon-Lime Soda,Lemon Spiral
Alabama Slammer,Amaretto:20.0,Southern Comfort:20.0,Sloe Gin:20.0,fill-up Orange Juice
Alabazam,Brandy:50.0,Orange Curacao:12.5,Angostura Bitters:2.0(dash),Lemon Juice:20.0,Simple Syrup:12.5,Soda Water:50.0
Alaska Cocktail,Gin:37.5,Yellow Chartreuse:20.0,3 drops Orange Bitters,Orange Zest Twist
Alaskan Iced Tea,Gin:15.0,Vodka:15.0,Tequila:15.0,White Rum:15.0,Triple Sec:15.0,Lemon Juice:25.0,Gomme syrup:30.0,Blue Curacao:1.0(splash)
Alcoholic Dr.Pepper,Beer:250.0,Cola:250.0,Amaretto:25.0
Alexander,Gin:25.0,Crème de Cacao:25.0,Half & Half:25.0,grated Nutmeg
Algonquin,Rye Whiskey:37.5,Dry Vermouth:20.0,Pineapple Juice:20.0
Alibi,Vodka:50.0,Ginger Simple Syrup:25.0,squeeze of Fresh Lime,Soda Water
Amaretto Colada,Amaretto:30.0,Coconut Cream:30.0,Pineapple Juice:90.0,1 Pineapple Slice
Amaretto Sour,Amaretto:50.0,Lemon Juice:25.0,Simple Syrup:12.5,Egg-White:1.0(dash),Angostura Bitters:1.0(dash),Lemon Zest
Amaretto Sunrise,Amaretto:45.0,Orange Juice:90.0,Grenadine Syrup:15.0,Orange Slice
Amarula and Eve,Amarula Cream:37.5,Citrus Vodka:12.5,Lychee Juice:65.0,Ruby Red Grapefruit Juice:20.0,Lychee Fruit
American Collins,Premium Gin:37.5,Simple Syrup:20.0,Lemon Juice:12.5,4 Bing Cherries,8 Blueberries,Soda Water,Lemon Wheel
Americano,Campari:25.0,Sweet Vermouth:25.0,Soda Water:1.0(dash),Lemon Peel
Anaconda,Tennesse Whiskey:12.5,White Sambuca:12.5
Anani Punch,Dark Rum:50.0,Orange Juice:25.0,Pineapple Juice:12.5,Passion Fruit Syrup:12.5
Anejo HighBall,Anejo Rum:37.5,Lime Juice:20.0,Orange Curacao:15.0,Angostura Bitters:3.0(dash),Lemon Slice
