"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume","classified_by_abv","long_and_short_drink"
"124","Blood Martini","Citrus Vodka:37.5","Ginger Liqueur:25.0","Dark Grape Juice:25.0","Blackberry Syrup:12.5","Blackberries","Raspberries","","","","","","",21.8,100,"喝到微醺最快樂！","快快喝，快快醉"
"125","Bloodhound","Gin:50.0","Dry Vermouth:25.0","Sweet Vermouth:25.0","Strawberry Coulis","Strawberry","","","","","","","",34.2,100,"喝到微醺最快樂！","快快喝，快快醉"
"126","Bloodless Mary","Vodka:45.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","","",27.4,65,"喝到微醺最快樂！","快快喝，快快醉"
"127","Bloody Aztec","Tequila:37.5","Crème de Cacao:37.5","Red Food Colouring:20.0","","","","","","","","","",25,95,"喝到微醺最快樂！","快快喝，快快醉"
"128","Bloody Bishop","Vodka:25.0","Sherry:25.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco  Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","",9,160,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"129","Bloody Cab","Vodka:25.0","Carbernet Sauvignon:25.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","",8.3,160,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"130","Bloody Dane","Akvavit:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"131","Bloody Eight","Vodka:45.0","V8:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"132","Bloody Fairy","Absinthe:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",21.4,155,"喝到微醺最快樂！","慢慢喝，還是會醉"
"133","Bloody Hogger","Bacon Vodka:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",10.1,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"134","Bloody LeRoy","Vodka:45.0","Barbecue Sauce:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"135","Bloody Margaret","Gin:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"136","Bloody Maria","Tequila:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"137","Bloody Mariyaki","Vodka:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Teriyaki Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"138","Bloody Mary","Peppered Vodka:37.5","Sweet Vermouth:15.0","Tomato Juice:35.0","Red Wine:1.0(splash)","es Worcestershire sauce:1.0(splash)","Tobasco sauce:10.0(dash)","Lemon Juice:25.0","Salt:10.0(dash)","Pepper:10.0(dash)","3 Cucumber slices","","",12.2,152,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"139","Bloody Molly","Irish Whiskey:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"140","Bloody Ninja","Sake:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",4.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"141","Bloody Pari","Arak:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",8.7,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"142","Bloody Pirate","Dark Rum:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"143","Bloody Scotsman","Scotch Whiskey:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"144","Blowjob","Irish Cream Liqueur:7.5","Amaretto:12.5","Whipped Cream","","","","","","","","","",22.7,20,"喝到微醺最快樂！","快快喝，快快醉"
"145","Blue Bayou","Vodka:37.5","Blue Curacao:12.5","fresh Pineapple:0.5(cup)","Grapefruit Juice:50.0","Pineapple Slice","","","","","","","",16.8,118,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"146","Blue Blazer","Whiskey:50.0","Hot Water:50.0","Demerara Sugar:2.0(teaspoon)","Lemon Zest","","","","","","","","",18,110,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"147","Blue Carnation","White Crème de Cacao:12.5","Blue Curacao:12.5","Cream:50.0","","","","","","","","","",10.7,75,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"148","Blue Cosmopolitan","Citron Vodka:40.0","Blue Curacao:15.0","Lime Juice:15.0","White Cranberry Juice:30.0","Lime Wedge","","","","","","","",21.8,100,"喝到微醺最快樂！","快快喝，快快醉"
"149","Blue Eyed Blonde","Irish Cream Liqueur:10.0","White Crème de Cacao:10.0","Blue Curacao:10.0","","","","","","","","","",26.5,30,"喝到微醺最快樂！","快快喝，快快醉"
"150","Blue Hawaiian","Light Rum:20.0","Vodka:20.0","Blue Curacao:12.5","Unsweetened Pineapple Juice:75.0","Sweet and Sour Mix:25.0","","","","","","","",13.7,152,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"151","Blue Lagoon","Vodka:25.0","Blue Curacao:25.0","Lemonade:75.0","Lemon Slice","","","","","","","","",15.9,125,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"152","Blue Lagoon Margarita","Tequila:37.5","Blue Curacao:20.0","Pineapple Juice:12.5","Lemon-Lime Soda:1.0(splash)","Lime Juice:1.0(splash)","","","","","","","",27.8,82,"喝到微醺最快樂！","快快喝，快快醉"
"153","Blue Margarita","Tequila:37.5","Blue Curacao:25.0","Lime Juice:25.0","Salt","","","","","","","","",28.2,88,"喝到微醺最快樂！","快快喝，快快醉"
"154","Blueberry Collins","Gin:50.0","Lemon Juice:25.0","Vanilla Sugar Syrup:12.5","19 Blueberries","Top-Up Soda water","","","","","","","",22.6,88,"喝到微醺最快樂！","快快喝，快快醉"
"155","Blushing Bride","Peach Schnapps:25.0","Champagne:100.0","Grenadine Syrup:25.0","","","","","","","","","",12.1,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"156","Boiler Maker","Pale Ale:250.0","Bourbon Whiskey:25.0","","","","","","","","","","",8.2,275,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"157","Bolo Cocktail","Rum:50.0","Lime Juice:12.5","Orange Juice:25.0","Sugar Syrup:10.0","Angostura Bitters:2.0(dash)","","","","","","","",20.8,99,"喝到微醺最快樂！","快快喝，快快醉"
"158","Boston Sour","Bourbon Whiskey:50.0","Lemon Juice:25.0","Sugar Syrup:12.5","Egg-White:12.5","Lemon Zest","","","","","","","",19.8,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"159","Bourbon Lancer","Bourbon:45.0","Champagne:80.0","Angostura Bitters:3.0(dash)","Lemon Peel","","","","","","","","",22.5,128,"喝到微醺最快樂！","慢慢喝，還是會醉"
"160","Bramble","Gin:50.0","Crème de Mure:10.0","Lemon Juice:25.0","Sugar Syrup:12.5","Blackberry","","","","","","","",21.9,98,"喝到微醺最快樂！","快快喝，快快醉"
"161","Bramble Royale","Gin:25.0","Crème de Mure:5.0","Lemon Juice:12.5","Vanilla Sugar Syrup:5.0","Top-Up Champagne","","","","","","","",22.3,48,"喝到微醺最快樂！","快快喝，快快醉"
"162","Brandy Alexander","Brandy:37.5","Crème de Cacao:20.0","Milk:50.0","Grated Nutmeg","","","","","","","","",25.2,108,"喝到微醺最快樂！","快快喝，快快醉"
"163","Brandy Cocktail","Brandy:50.0","Orange Curacao:12.5","Angostura Bitters:2.0(dash)","Peychards Bitters:2.0(dash)","Lemon Peel","","","","","","","",49.6,66,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"164","Brandy Collins","Brandy:50.0","Squeezed Lemon Juice:25.0","Sugar Syrup:15.0","Soda Water:15.0","Maraschino Cherry","Lemon Slice","","","","","","",28.3,105,"喝到微醺最快樂！","快快喝，快快醉"
"165","Brandy Daisy","Brandy:37.5","Yellow Chartreuse:20.0","Lemon Juice:20.0","Soda Water:1.0(splash)","","","","","","","","",36.1,83,"喝到微醺最快樂！","快快喝，快快醉"
"166","Brandy EggNog","Brandy:25.0","Milk:30.0","Sugar Syrup:12.5","1 Egg Yolk","","","","","","","","",21.9,68,"喝到微醺最快樂！","快快喝，快快醉"
"167","Brandy Manhattan","Brandy:50.0","Sweet Red Vermouth:20.0","Angostura Bitters:1.0(dash)","Maraschino Cherry","","","","","","","","",47.3,71,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"168","Brandy Smash","Brandy:65.0","Soda Water:25.0","4 sprigs Fresh Mint","Sugar:1.0(teaspoon)","Maraschino Cherry","","","","","","","",40.7,95,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"169","Brandy Sour (Cyprus)","Cypriot Brandy:50.0","Cypriot Lemon Squash:25.0","3 drops  Angostura Bitters","Lemonade:1.0(dash)","","","","","","","","",20.8,76,"喝到微醺最快樂！","快快喝，快快醉"
"170","Brass Monkey","Dark Rum:25.0","Vodka:25.0","Orange Juice:25.0","","","","","","","","","",26.3,75,"喝到微醺最快樂！","快快喝，快快醉"
"171","Brave Bull","Blanco Tequila:50.0","Coffee Liqueur:25.0","","","","","","","","","","",46.7,75,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"172","Brazilian Sangria","Absinthe:12.5","Cachaca:30.0","Spainish Brandy:12.5","Orange Liqueur:12.5","Red Wine:25.0","Strawberry","Lime","Orange ","Kiwi ","Passionfruit","","",39.5,92,"喝到微醺最快樂！","快快喝，快快醉"
"173","Breakfast Martini","Gin:45.0","Triple Sec:20.0","Lemon Juice:20.0","Sugar Syrup:12.5","1 heaped spoon of Orange Marmalade","flamed lemon zest","","","","","","",26.4,98,"喝到微醺最快樂！","快快喝，快快醉"
"174","Breath of Fresh Air","Vodka:25.0","Peppermint Liqueur:50.0","Mint Leaf","","","","","","","","","",24.3,75,"喝到微醺最快樂！","快快喝，快快醉"
"175","Broad Stripes and Bright Stars","Absinthe:5.0","Blueberry Vodka:25.0","Simple Syrup:5.0","Lemon Juice:1.0(splash)","Raspberry Liqueur:1.0(drizzle)","Ginger Beer","Blueberries","","","","","",29.4,42,"喝到微醺最快樂！","快快喝，快快醉"
"176","Broken Heart Martini","Vodka:65.0","Crème de Cacao:12.5","Cocoa Powder:1.0(tablespoon)","Sugar:1.0(teaspoon)","Orange Slice","","","","","","","",29.5,97,"喝到微醺最快樂！","快快喝，快快醉"
"177","Bronx","Gin:50.0","Sweet Red Vermouth:12.5","Dry Vermouth:12.5","Fresh Orange Juice:25.0","Orange Zest Twist","Maraschino Cherry","","","","","","",27,100,"喝到微醺最快樂！","快快喝，快快醉"
"178","Brotherly Love","Gin:37.5","Licor 43:20.0","Simple Syrup:20.0","Steamed Milk:100.0","Nutmeg","","","","","","","",11.9,178,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"179","Brown Derby","Bourbon Whiskey:50.0","Grapefruit Juice:25.0","Runny Honey:5.0","Grapefruit Zest","","","","","","","","",24.7,80,"喝到微醺最快樂！","快快喝，快快醉"
"180","Brown Mary","Whiskey:45.0","Tomato Juice:90.0","Lemon Juice:15.0","Tabasco  Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"181","Brown Russian","Vodka:50.0","Coffee Liqueur:20.0","Ginger Ale:1.0(splash)","","","","","","","","","",36.9,76,"喝到微醺最快樂！","快快喝，快快醉"
"182","Brown University","Bourbon Whiskey:37.5","Dry Vermouth:37.5","Orange Bitters:2.0(dash)","","","","","","","","","",38.8,77,"喝到微醺最快樂！","快快喝，快快醉"
"183","Bucks Fizz","Orange Juice:50.0","Champagne:100.0","","","","","","","","","","",8.1,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"184","Buena Vida","Tequila:50.0","Pink Grapefruit Juice:40.0","Pineapple Juice:20.0","Vanilla Sugar Syrup:12.5","Old Fashioned Bitters:3.0(dash)","Pineapple Slice","Mint Sprig","","","","","",15.8,125,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"185","Bumbo","Rum:50.0","Water:25.0","2 Sugar Cubes","sprinkle of Cinnamon","sprinkle of Nutmeg","","","","","","","",26.3,75,"喝到微醺最快樂！","快快喝，快快醉"
"186","Burning Bush","Bushmills Irish Whiskey:37.5","Honey:25.0","Hot Water:75.0","Lemon Wedge","","","","","","","","",12.5,138,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"187","Bushwacker","Dark Rum:25.0","Coffee Liqueur:25.0","Dark Crème de Cacao:25.0","Coconut Cream:50.0","Milk:50.0","","","","","","","",14.9,175,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"188","Buttery Nipple","Irish Cream Liqueur:75.0","Butterscotch Schnapps:50.0","","","","","","","","","","",18.5,125,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"189","Cable Car","Spiced Rum:37.5","Orange Curacao:20.0","Sour Mix:37.5","Orange Peel Spiral","Superfine Sugar","","","","","","","",17.8,95,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"190","Cadillac Margarita","Premium Tequila:37.5","Grand Marnier:25.0","Lime Juice:20.0","Salt","","","","","","","","",36.7,82,"喝到微醺最快樂！","快快喝，快快醉"
"191","Café Amore","Cognac:25.0","Amaretto:25.0","Black Coffee","Whipped Cream","Shaved Almonds","","","","","","","",33.3,50,"喝到微醺最快樂！","快快喝，快快醉"
"192","Caipiblack","Black Vodka:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",32.9,60,"喝到微醺最快樂！","快快喝，快快醉"
"193","Caipinheiger","Steinhager:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",31.2,60,"喝到微醺最快樂！","快快喝，快快醉"
"194","Caipirao","Licor Beirao:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",18.1,60,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"195","Caipirinha","Cachaca:50.0","1/2 Lime","Brown Sugar:1.0(teaspoon)","Lime Wedge","","","","","","","","",42.9,55,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"196","CaipirItaly","Campari:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",16.8,60,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"197","Caipisake","Sake:50.0","1/2 Lime cut into 4 segments","Sugar:2.0(teaspoon)","","","","","","","","","",13.1,60,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"198","Caipivodka","Vodka:50.0","1/2 Lime","Refined Sugar:2.0(teaspoon)","Lemon Slice","","","","","","","","",32.9,60,"喝到微醺最快樂！","快快喝，快快醉"
"199","Caju  Amigo","Cachaca:15.0","Cashew Juice:15.0","","","","","","","","","","",23.2,30,"喝到微醺最快樂！","快快喝，快快醉"
"200","California Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Orange Juice:1.0(splash)","","","","",21.9,136,"喝到微醺最快樂！","慢慢喝，還是會醉"
"201","Calimocho","Red Wine:50.0","Cola:50.0","","","","","","","","","","",7.4,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"202","Campari Cocktail","Campari:25.0","Vodka:20.0","Angostura Bitters:1.0(dash)","Lemon Twist","","","","","","","","",28.8,46,"喝到微醺最快樂！","快快喝，快快醉"
"203","Campari Cosmo","Citrus Vodka:50.0","Campari:25.0","Orange Juice:25.0","Triple Sec:1.0(splash)","Orange Peel","","","","","","","",25.7,106,"喝到微醺最快樂！","快快喝，快快醉"
"204","Candy Corn","Galliano:10.0","Orange Curacao:10.0","Cream:10.0","","","","","","","","","",20.1,30,"喝到微醺最快樂！","快快喝，快快醉"
"205","Cantarito","Tequila:37.5","Lime Juice:12.5","Orange Juice:12.5","Lemon Juice:12.5","Grapefruit Soda:10.0","Lemon","Lime & Orange wedges","Salt","","","","",17.4,85,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"206","Cape Cod","Vodka:25.0","Cranberry Juice:50.0","Lime Wedge","","","","","","","","","",13.2,75,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"207","Caribbean Sunrise","Rum:45.0","Orange Juice:60.0","Grenadine Syrup:15.0","Orange Slice","","","","","","","","",14.9,120,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"208","Caribou Lou","151 Proof Rum:37.5","Coconut Rum:25.0","Pineapple Juice:125.0","","","","","","","","","",17.8,188,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"209","Caruso","Gin:25.0","Dry Vermouth:25.0","Green Crème de Menthe:1.0(dash)","","","","","","","","","",39,51,"喝到微醺最快樂！","快快喝，快快醉"
"210","Catalina Margarita","Tequila:37.5","Peach Schnapps:25.0","Blue Curacao:25.0","Sour Mix:12.5","","","","","","","","",30.7,100,"喝到微醺最快樂！","快快喝，快快醉"
"211","Chalino Special","Tequila:65.0","Black Raspberry Liqueur:5.0","Lime Juice:12.5","Lemon Juice:12.5","Sugar Syrup:5.0","","","","","","","",26.6,100,"喝到微醺最快樂！","快快喝，快快醉"
"212","Champagne Cocktail","Champagne:100.0","Brandy:25.0","Sugar:1.0(bar spoon)","Angostura Bitters:4.0(dash)","","","","","","","","",21.8,131,"喝到微醺最快樂！","慢慢喝，還是會醉"
"213","Champanska","Premium Vodka:25.0","Champagne:0.5(cup)","Lime Cordial:25.0","Lime Twist","","","","","","","","",17.7,68,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"214","Chapel Hill","Bourbon Whiskey:37.5","Triple Sec:37.5","Lemon Juice:1.0(splash)","","","","","","","","","",36.6,81,"喝到微醺最快樂！","快快喝，快快醉"
"215","Charlie Chaplin","Apricot Brandy:25.0","Sloe Gin:25.0","Lime Juice:25.0","Lime Peel","","","","","","","","",21.4,75,"喝到微醺最快樂！","快快喝，快快醉"
"216","Charmides","Absinthe:25.0","Seedless Green Grapes","Angostura Bitters:1.0(dash)","Gin:37.5","Ginger Syrup:20.0","Juice of 1/2 Lime","Soda Water","Candied Ginger","","","","",40.2,83,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"217","Chartreuse Martini","Gin:12.5","Green Chartreuse:12.5","Dry Vermouth:12.5","","","","","","","","","",43.8,38,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"218","Chartreuse Soleil","Yellow Chartreuse:25.0","Whiskey:25.0","","","","","","","","","","",39.2,50,"喝到微醺最快樂！","快快喝，快快醉"
"219","Cherrute","Vodka:50.0","Cherry Brandy:20.0","Grapefruit Juice:37.5","Sugar Syrup:5.0","","","","","","","","",24.7,112,"喝到微醺最快樂！","快快喝，快快醉"
"220","Cherry Blossom Tini","Sake:55.0","Triple Sec:20.0","Cranberry Juice:20.0","Lime Juice:5.0","Orange Bitters:2.0(dash)","","","","","","","",16.5,102,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"221","Cherry Daiquiri","Light Rum:37.5","Cherry Brandy:12.5","Lime Juice:12.5","Vanilla Sugar Syrup:5.0","8 Cherries","","","","","","","",29.2,68,"喝到微醺最快樂！","快快喝，快快醉"
"222","Cherubs Cup","Elderflower Liqueur:25.0","Vodka:50.0","Lemon Juice:20.0","Simple Syrup:5.0","Muddled Strawberry:5.0","top-up Brut Rose Sparkling Wine","Strawberry","","","","","",23.6,105,"喝到微醺最快樂！","快快喝，快快醉"
"223","Chi-Chi","Vodka:50.0","Blue Curacao:12.5","Coconut Cream:12.5","fresh Pineapple:0.5(cup)","scoop of Vanilla Ice-Cream","Pineapple Chunk","","","","","","",26.5,93,"喝到微醺最快樂！","快快喝，快快醉"
"224","Chicago Cocktail","Brandy:25.0","Triple-Sec:25.0","Angostura Bitters:1.0(dash)","Champagne:1.0(dash)","Caster Sugar","Egg-White","","","","","","",36.5,52,"喝到微醺最快樂！","快快喝，快快醉"
"225","Chicago Fizz","Dark Rum:25.0","Ruby Port:25.0","Lemon juice:25.0","Sugar:1.0(teaspoon)","Soda Water","","","","","","","",18.2,80,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"226","Chocolate and Orange Martini","Vodka:25.0","White Crème de Cacao:12.5","Triple Sec:1.0(dash)","Chocolate Chunks","","","","","","","","",34.2,38,"喝到微醺最快樂！","快快喝，快快醉"
"227","Chocolate Cake","Citrus Vodka:20.0","Hazelnut Liqueur:20.0","Sugar Coated Lemon","","","","","","","","","",29.3,40,"喝到微醺最快樂！","快快喝，快快醉"
"228","Chocolate Martini","Vodka:50.0","White Crème de Cacao:37.5","Hershey Hug","Powdered Cocoa","","","","","","","","",33.2,88,"喝到微醺最快樂！","快快喝，快快醉"
"229","Choking Hazard","Whiskey:75.0","Olive Juice:1.0(splash)","Dry Vermouth:1.0(dash)","3 Cheese & Almond Stuffed Olives","","","","","","","","",36.7,82,"喝到微醺最快樂！","快快喝，快快醉"
"230","Chrysanthemum","Absinthe:10.0","Brandy:20.0","Dry Vermouth:50.0","Orange Peel","","","","","","","","",48.6,80,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"231","Churchill","Scotch Whiskey:45.0","Sweet Vermouth:15.0","Triple Sec:15.0","Lime Juice:15.0","","","","","","","","",29.3,90,"喝到微醺最快樂！","快快喝，快快醉"
"232","Cinderella","Lemon Juice:25.0","Orange Juice:25.0","Pineapple Juice:25.0","Ginger Ale:50.0","Grenadine Syrup:1.0(dash)","Pineapple & Orange Slices","","","","","","",2.5,126,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"233","Citrus Banshee","Citrus Vodka:25.0","Banana Liqueur:12.5","White Crème de Cacao:12.5","Cream","","","","","","","","",31.9,50,"喝到微醺最快樂！","快快喝，快快醉"
"234","Citrus Caipirinha","Cachaca:50.0","Sugar Syrup:20.0","1/4 Lemon","1/4 Lime","1/8 Pineapple","","","","","","","",33.8,70,"喝到微醺最快樂！","快快喝，快快醉"
"235","Cliffhanger","Brandy:25.0","Coffee Liqueur:25.0","Cream Liqueur:25.0","Cream","","","","","","","","",38.5,75,"喝到微醺最快樂！","快快喝，快快醉"
"236","Clover Club","Caorunn Gin:37.5","Lemon Juice:37.5","Sweet Vermouth:20.0","Raspberry Syrup:20.0","1 Egg White","","","","","","","",16.6,115,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"237","Club Cocktail","Brandy:50.0","Maraschino Liqueur:12.5","Pineapple Juice:12.5","Peychauds bitters:2.0(dash)","Lemon Peel","","","","","","","",43.7,77,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"238","Coco Colada","Pineapple Juice:100.0","Coconut Cream:50.0","Orange slice","","","","","","","","","",0,150,"偷偷告訴你，我不含酒精呦～","慢慢喝，還是會醉"
"239","Coco Margarita","Tequila:37.5","Sour Mix:12.5","Pineapple Juice:25.0","Lime Juice:12.5","Coconut Cream:12.5","Pineapple wedge","","","","","","",14.9,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"240","Coconaut","Dark Rum:50.0","Cream of Coconut:37.5","Lime Juice:12.5","","","","","","","","","",19.8,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"241","Colleen Bawn","Rye Whiskey:37.5","Yellow Chartreuse:37.5","Benedictine:37.5","1 Egg","Simple Syrup:1.0(teaspoon)","Nutmeg","","","","","","",41.5,117,"人生偶爾就是要來大醉一場","快快喝，快快醉"
"242","Colombia","Vodka:50.0","Blue Curacao:25.0","Grenadine:25.0","Syrup","Lemon Juice:25.0","Orange Juice:150.0","","","","","","",10.9,275,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"243","Colt 45","Gin:25.0","Jagermeister:50.0","Energy Drink:150.0","","","","","","","","","",12.2,225,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"244","Commander White","Vodka:45.0","Pineapple Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"245","Commodore","Rum:50.0","1 Egg White","Sugar:1.0(teaspoon)","Lemon Juice:1.0(dash)","Grenadine Syrup:1.0(dash)","Raspberry Syrup:1.0(dash)","","","","","","",34.1,58,"喝到微醺最快樂！","快快喝，快快醉"
"246","Communitini","Pomegranate Vodka:37.5","Pomegranate Juice:37.5","Simple Syrup:20.0","Fresh mint:5.0","Sugar","","","","","","","",6.3,100,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"247","Comrade Collins","Vodka:50.0","Lemon Juice:25.0","Sugar Syrup:1.0(drizzle)","Soda Water:1.0(splash)","Lemon Slice","","","","","","","",24.1,82,"喝到微醺最快樂！","快快喝，快快醉"
"248","Cool Colada","Pineapple Vodka:25.0","Coconut Vodka:12.5","Pineapple Juice:12.5","","","","","","","","","",25.7,50,"喝到微醺最快樂！","快快喝，快快醉"
