"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume","classified_by_abv","long_and_short_drink"
"30","Angels Tit","White Crème de Cacao:10.0","Maraschino Liqueur:10.0","Half-And- Half:10.0","Maraschino Cherry","","","","","","","","",20,30,"喝到微醺最快樂！","快快喝，快快醉"
"31","Anita Byrant","Vodka:50.0","Fresh Apple Juice:100.0","Lemon Slice","","","","","","","","","",13.2,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"32","Anna Kournikova","Vodka:50.0","Coffee Liqueur:20.0","Skimmed Milk:30.0","","","","","","","","","",27.7,100,"喝到微醺最快樂！","快快喝，快快醉"
"33","AntiFreeze","Blood Orange Vodka:37.5","Blue Curacao:12.5","Orange Juice:12.5","","","","","","","","","",33.3,62,"喝到微醺最快樂！","快快喝，快快醉"
"34","Aperol Sunrise","Tequila:45.0","Orange Juice:90.0","Aperol Orange Liqueur:15.0","Orange Slice","","","","","","","","",16.4,150,"啊啊啊啊明天還有早八Orz","慢慢喝，還是會醉"
"35","Apocalypse Now","Dry Vermouth:10.0","Irish Cream Liqueur:10.0","Tequila:10.0","","","","","","","","","",31.3,30,"喝到微醺最快樂！","快快喝，快快醉"
"36","Apple Cin","Apple Vodka:30.0","Spiced Rum:20.0","Cranberry Juice:25.0","Simple Syrup:12.5","Cinnamon","","","","","","","",9.6,88,"啊啊啊啊明天還有早八Orz","快快喝，快快醉"
"37","Apple Sour","Bourbon Whiskey:37.5","Triple Sec:20.0","Apple Juice:30.0","Lemon Juice:5.0","Orange Bitters:2.0(dash)","","","","","","","",24.3,94,"喝到微醺最快樂！","快快喝，快快醉"
"38","Appletini","Vodka:40.0","Apple Schapps:15.0","Triple Sec:15.0","Apple Slice","","","","","","","","",34.6,70,"喝到微醺最快樂！","快快喝，快快醉"
"39","Apricot Fizz","Bourbon Whiskey:25.0","Apricot Brandy:25.0","Lemon Juice:37.5","Old Fashioned Bitters:3.0(dash)","Top-Up Lemonade","","","","","","","",20.5,90,"喝到微醺最快樂！","快快喝，快快醉"
