liquor_names,alcohol_contents_percentage
Strega Liqueur,40
Advocaat,20
Kahlúa,20
Mango Liqueur,20
Pisco,38
Mango Vodka,40
Melon Vodka,40
Averna Liqueur,29
Canadian Mist Whiskey,40
Xante,38
Cherry Heering,24
Fernet Branca,39
Rosé Wine,12
Crown Royal Whiskey,40
Dubonnet,14.8
Dark Jamaican Rum,40
White Chocolate Liqueur,15
Green Tea Vodka,35
Blood Orange Vodka,43
Aperol Orange Liqueur,45
Apple Schnapps,15
Crème de Violette,20
Orange Cognac,40
Rose Champagne,12
Barenjager,35
Agavero,32
Bitters,46.2
Black Bush Irish Whiskey,40
Black Sambuca,42
Black Haus,40
Tequila Rose,15
Blood Orange Liqueur,30
Cabernet Sauvignon,13.5
Akvavit,40
Bacon Vodka,35
Arak,30
Cypriot Brandy,32
Spanish Brandy,35
Peppermint Liqueur,17
Licor 43,31
Bushmills Irish Whiskey,46
Steinhäger,38
Licor Beirão,22
Blue WKD,4
Brut Rose Sparkling Wine,12
Cranberry Liqueur,17
Chocolate Mint Liqueur,27
Armagnac,40
Peach Vodka,35
Framboise Liqueur,30
Everclear,95
Wild Turkey,40.5
Dry Gin,40
Elderflower Liqueur,20
Guava Rum,27.5
VSOP Cognac,40
Gingerbread Liqueur,17
White Port,20
Lemon Liqueur,25
Gran Gala,6.5
Tuaca,35
Cherry Liqueur,24
Mint Chocolate Irish Cream Liqueur,17
Stout Head,7.5
Plum Brandy,56
Jaloviina,40
Jamaican Dark Rum,40
Breton Cider,6
Normandy Cider,6
Punt e Mes,16
Cider,6
Cocoa Liqueur,30
Torani Amer,18
White Tequila,40
Mint Schnapps,50
Mezcal,55
Coffee Vodka,20
Anisette Liqueur,25
Liebfraumilch,11
Red Grapefruit Liqueur,17
Sweet White Wine,10
Mint Liqueur,25
Merlot,13.5
Red Vermouth,15
Orange Flavoured Liqueur,30
Blueberry Liqueur,20
Vermouth,18
Red Raspberry Vodka,40
Vanilla Liqueur,35
Limon Rum,35
Kümmel,39
Royal Combier,38
Tawny Port,20
Barbados Rum,40
Black Seal Rum,40
Fraise de Bois Liqueur,16
Seagrams Seven Crown Whiskey,40
Caramel Vodka,35
Blackberry Rum,35
Pineapple Coconut Liqueur,15
Lillet,17
Swedish Punsch,25
Rhum Agricole,70
Chocolate Vodka,40
Cava,12.5
Kina Lillet,17
Tia Maria,20
EggNog,75.5
Jameson Whiskey,40
Pimento Dram,22.5
Dry Red Wine,13.8
Green Tea Liqueur,20
Golden Rum,40
Pepper Vodka,40
Demerara Rum,40
Parfait D'Armour,24
Passion Fruit Liqueur,17
Strawberry Liqueur,20
Black Raspberry Vodka,16.5
Other Base,0
Amer Torani,79
Goslings Barbados Rum,75.5
Plantation Overproof Rum,69
Watermelon wedge,60.6
Aged Rum,55
Rye Whisky,51
Knob Creek Bourbon,50
Peppermint Scnapps,50
Woodford Reserve Bourbon,45.2
Bourbon whiskey,45
Canadian whiskey,45
Bourbon whiskey,45
Angostura Bitters,44.7
Tanqueray Gin,43.1
Pernod,43
Chairmans Reserve White Rum,43
Caorunn Gin,41.8
Tennesse Whiskey,40
Bacardi White Rum,40
Peppered Vodka,40
Grand Mariner,40
Black Vodka,40
Vodka Citron,40
Jamaican Amber Rum,40
Blavod Black vodka,40
Bacardi Rum,40
Scotch whiskey,40
Scotch whiskey,40
Gold Barbados Rum,40
Crown Royal Canadian Whiskey,40
Crown Royal whiskey,40
Goslings Black Seal Rum,40
Seagrams Seven Crown Whisky,40
Jameson Irish Whisky,40
Jameson Irish Whiskey,40
Goslings Bermudan Dark Rum,40
Orange-Flavoured Liqueur,40
Whiskey Liqueur,40
Irish Whisky,40
Dark Jamican Rum,40
Chairman's Reserve Spiced Rum,40
Strega Liquer,40
Fernet Branca (to rinse glass),39
Anejo Rum,38
Spice Rum,38
Steinhager,38
Jalovinna,38
Sambuca Liqueur,38
Kummel,38
Spainish Brandy,36
Jagermeister,35
Vanilla Extract,35
Double Espresso,35
Black Licorice Stick,35
Hazelnut soaked in Maraschino Liqueur,32
Orange Curacao Liqueur,31
Triple  Sec,30
Averna Liquer,29
White Creme de Cacao,27
Green Creme de Menthe,25
Lejay Parfait Amour,25
Dark Creme de Cacao,24
Peach Schapps,24
Gabriel Boudier Apricot Brandy,24
Licor Beirao,22
Bitter Truth Apricot Brandy Liqueur,22
Blue Curacao Liqueur,21
Coconut Liqueur,21
Mint Chocolate Liqueur,20
Midori Liqueur,20
Kahlua,20
Orange Curacao,20
White Crème de Curacao,20
Passoa,20
Creme de Noyaux,20
Coffee Liqueur and splash of Cola,20
Frangelica,20
Velvet Falernum,18
Bermuda  falernum,18
Old-Fashioned Bitters,17.5
Baileys Cream Liqueur,17
Irish Cream liqueur,17
Baileys Irish Cream,17
Apple Schapps,17
Crème de Banana,17
Pama Pomegranate Liqueur,17
Lillet blanc,17
Suave Pomegranate Liqueur,17
Rum Cream,17
Irish Cream Cocktail,17
Crème de Fraises,16
Creme de Mure,16
Applejack,15
Manzanilla Sherry,15
Triple-Sec,15
Rioja Crianza,13.5
Carbernet Sauvignon,13.5
Top-Up Champagne,12.5
Champagne glass of  Champagne,12.2
Chilled Champagne,12
Splash of Champagne,12
Top up of Champagne.,12
Top-Up Champagne.,12
Sparling Wine,11
Dr.Pepper,11
Root Beer,10.7
Egg White,10
Margarita Mix,9.95
Rose Wine,9
Ginger Beer,9
Top-Up Ginger Beer,9
Stout,7.5
Small Bottle of Stout Beer,7
Apple Whisky,6.9
Root Beer to fill,6.7
Ginger Ale,6.4
Ginger Ale to fill,6.4
Ginger Ale,6.4
Top-Up Ginger Ale,6.4
Mango Nectar,5.7
Pale Ale,5
Half & Half,5
Half-And- Half,5
Half and Half,5
Hot Apple Cider,4.5
Apple Cider to top,4.5
Guinness,4.3
Peach Bitters,1.73
Red Bull,0.08
Bourbon whiskey,40
Scotch whiskey,40
Irish whiskey,40
Rye whiskey,51
whiskey,40
Tennessee whiskey,40
Canadian whiskey,40
Apple whiskey,35
Canadian Mist whiskey,40
Crown Royal whiskey,40
Black Bush Irish whiskey,40
Bushmills Irish whiskey,46
Seagrams Seven Crown whiskey,40
Jameson whiskey,40
Tennesse whiskey,40
Crown Royal Canadian whiskey,40
Jameson Irish whiskey,40
whiskey Liqueur,40
Bourbon Whisky,40
Scotch Whisky,40
Irish Whisky,40
Rye Whisky,51
Whisky,40
Tennessee Whisky,40
Canadian Whisky,40
Apple Whisky,35
Canadian Mist Whisky,40
Crown Royal Whisky,40
Black Bush Irish Whisky,40
Bushmills Irish Whisky,46
Seagrams Seven Crown Whisky,40
Jameson Whisky,40
Tennesse Whisky,40
Crown Royal Canadian Whisky,40
Jameson Irish Whisky,40
Whisky Liqueur,40
