cocktail_name,alcohol_concentration(%),total_volume(ml)
Tiki Bar Margarita,22.6,88
Toasted Almond,25.2,100
Toblerone Martini,9.1,101
Tokyo Iced Tea,19.8,136
Tom & Jerry,28.7,18
Tom Collins,18.3,81
Tomate,31.2,35
Tommy`s Margarita,22.6,88
Tootsie Roll,26.9,25
Tornado,37.8,105
Toro Rojo,3.8,267
Toronha,19.5,127
Torpes,11.1,108
Trojan Horse,3.5,500
Tropical Colada,0.0,251
Tropical Cooler,16.7,68
Twilight Dove,0.0,105
T`n`T,13.2,150
U-Boot,6.0,590
Ultra Violet,19.6,81
Un-Goa,37.1,26
Union Square,19.8,100
Va Va Voom,10.9,45
Valencian Water,12.7,1000
Valkyrie,19.8,100
Velvet Hammer,28.1,150
Vermouth Cassis,30.8,58
Vertigo,22.8,62
Very Berry Mule,22.6,88
Very Berry Sangria,13.3,1137
Vesper Martini,28.2,90
Victorias Secret,17.8,100
Vienna Soother,0.0,160
Vieux Carre Cocktail,36.2,89
Virgin Mary,0.0,109
Virgin Miami Vice,0.8,155
Vodka McGovern,13.2,150
Volcano,15.9,446
Voodoo,9.9,26
Wahine,18.1,138
Waldorf,43.2,77
Ward 8,19.8,90
Warm Old-Fashioned,39.2,50
Washington Apple,18.1,75
Watermelon Margarita,30.6,81
Watermelon Martini,26.3,75
Watermelon Wave,11.0,850
Wedding Belle,25.5,65
Wedding Cake,24.3,55
Weep No More,38.6,80
Whiskey Cobbler,29.7,100
Whiskey Smash,26.3,75
Whiskey Sour,19.8,90
Whispers of the Frost,24.7,117
White Canadian,27.7,100
White Carnation,19.3,118
White Christmas,7.7,138
White Christmas Dream,22.4,75
White Lady,29.7,100
White Lightning Sangria,9.7,896
White Russian,26.7,92
White Wine Sangria,10.3,1324
Widows Cork,35.5,75
Winter Cocktail,34.5,67
Witch Doctor,20.5,150
Witch Hunt,25.0,135
Wolf Bite,25.1,188
WooWoo,14.5,165
Xalapa Punch,26.3,3110
Yaka Hula Hickey Dula,26.4,112
Yale Cocktail,38.9,31
Yashmak,40.0,82
Yellow Bird,25.7,85
Yellow Fairy,37.5,81
Yellow Submarine,36.4,62
Yorsch,7.7,275
Yule Mule,16.5,120
Z Street Slammer,22.4,75
Z-28,29.0,30
Zambeer,13.1,412
Zambodian,24.2,30
Zanzibar,31.4,115
Zen Latte,3.9,75
Zipper,18.4,30
Zipperhead,18.6,90
Zombie,21.6,181
Zorbatini,39.5,75
Zurracapote,14.3,787
