cocktail_name,alcohol_concentration(%),total_volume(ml)
Cardinal Cocktail,14.4,25
Caribbean Sunrise,14.9,120
Caribou Lou,17.8,188
Caruso,39.0,51
Catalina Margarita,30.7,100
Chalino Special,26.6,100
Champagne Cocktail,21.8,131
Champagne Fizz,24.7,80
Champagne Flamingo,29.5,40
Champanska,17.7,68
Chapel Hill,36.6,81
Charlie Chaplin,21.4,75
Charmides,40.2,83
Charro Negro,49.0,25
Chartreuse Martini,43.8,38
Chartreuse Soleil,39.2,50
Chateau Cardillo,0.6,26
Cheeky Vimto,0.0,275
Cherrute,24.7,112
Cherry Blossom Tini,16.5,102
Cherry Daiquiri,29.2,68
Cherry Hooker,39.2,50
Cherubs Cup,23.6,105
Chi-Chi,26.5,93
Chicago Cocktail,36.5,52
Chicago Fizz,18.2,80
Chocolate and Orange Martini,34.2,38
Chocolate Cake,29.3,40
Chocolate Kiss,46.6,50
Chocolate Martini,33.2,88
Chocolate-covered Cherry,22.6,75
Choking Hazard,36.7,82
Christmas Jones,6.6,150
Chrysanthemum,48.6,80
Churchill,29.3,90
Cinderella,2.5,126
Citrus Banshee,31.9,50
Citrus Caipirinha,33.8,70
Cliffhanger,38.5,75
Clover Club,16.6,115
Club Cocktail,43.7,77
Coco Colada,0.0,150
Coco Margarita,14.9,100
Coconaut,19.8,100
Colleen Bawn,41.5,117
Colombia,10.9,275
Colt 45,12.2,225
Commander White,11.6,155
Commodore,34.1,58
Communitini,6.3,100
Comrade Collins,24.1,82
Cool Colada,25.7,50
Coppertone,7.0,150
Corn N `Oil,27.6,20
Coronation,38.7,60
Corpse Reviver,34.2,100
Corpse Reviver #2,24.5,81
Corzo La Futura,22.6,115
Cosmocello,25.9,100
Cosmopolitan,21.4,92
Cossack,36.1,68
Country Breeze,13.7,175
Cran Daddy Shandy,2.2,100
Cranberry Spritzer,26.3,75
Crantini,36.5,92
Creamsicle,35.7,38
Cricket,14.8,75
Crouching Tiger,36.5,25
Cuba Libre,12.6,150
Cuba Light,13.2,150
Cuban Breeze,33.5,70
Cuban Manhattan,36.4,71
Cuban Missile Crisis,25.0,150
Cuban Rose,25.2,58
D.R.F.O,33.0,112
Dafne Martini,39.3,101
Daiquiri,25.1,79
Dancing Belly,17.6,128
Dark `N` Stormy,33.8,60
Death by Chocolate,26.0,100
Death in the Afternoon,0.0,0
Deep Purple,21.4,92
Delilah,29.3,78
Derby Daiquiri,22.6,88
Desert Cooler,25.8,108
Detropolitan,16.9,92
Devil Cocktail,52.2,62
Devil`s Punch,29.2,126
Diamond Fizz,24.7,80
Dirty Martini,39.5,78
Dirty Mother,53.9,50
Distracted,9.6,33
Dolomint,27.1,75
Don Pedro,22.8,87
Donald Sutherland,46.4,70
Dorflinger,50.9,76
Double Vision,19.5,95
Down East Delight,0.0,143
Dracula’s Kiss,24.4,38
Dreamy Blues,32.1,75
Dry Manhattan,39.5,71
Dubonnet,32.1,58
